event_id,name,url,image_url,date,time,status,segment,genre,subgenre,venue_name,venue_city,venue_address,venue_lat,venue_lon,price_min,price_max,currency,day_of_week,month_name,month_num,year,hour
Z698xZq2Z16vF3k9G0,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/1212197324?language=en-us,https://s1.ticketm.net/dam/e/d78/e055a3c6-df72-44c6-9c2a-adff8b7bcd78_CUSTOM.jpg,2026-04-11,19:30:00,onsale,Arts & Theatre,Theatre,Miscellaneous,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Saturday,April,4,2026,19
Z698xZq2Z1k37ef-A,Eric Idle,https://www.ticketmaster.se/event/eric-idle-tickets/484094845?language=en-us,https://s1.ticketm.net/dam/e/d88/0cbf49c5-f18e-4a38-ae44-0dcf61442d88_RECOMENDATION_16_9.jpg,2026-04-14,19:00:00,onsale,Arts & Theatre,Comedy,Comedy,Cirkus,Stockholm,Djurgårdsslätten 43-45,59.32457,18.09969,,,,Tuesday,April,4,2026,19
Z698xZq2Z1k4z847s,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/578415131?language=en-us,https://s1.ticketm.net/dam/e/196/c0ed667f-634b-4ead-8a88-6ac7d2dc2196_CUSTOM.jpg,2026-04-16,18:30:00,onsale,Arts & Theatre,Theatre,Musical,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Thursday,April,4,2026,18
Z698xZq2Z1kFaqPqP,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/209765765?language=en-us,https://s1.ticketm.net/dam/e/5a1/96b792e6-8fc9-4992-ad64-6b1d795c85a1_RETINA_PORTRAIT_3_2.jpg,2026-04-17,18:30:00,onsale,Arts & Theatre,Theatre,Musical,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Friday,April,4,2026,18
Z698xZq2Z16vbkFU0b,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/1606236918?language=en-us,https://s1.ticketm.net/dam/e/77e/e520232d-227d-4eaf-af18-8fc08ff7577e_TABLET_LANDSCAPE_LARGE_16_9.jpg,2026-04-18,13:00:00,onsale,Arts & Theatre,Theatre,Miscellaneous,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Saturday,April,4,2026,13
Z698xZq2Z1k7kbNZp,"5 Seconds of Summer - EVERYONE'S A STAR! WORLD TOUR, Platinum tickets",https://www.ticketmaster.se/event/5-seconds-of-summer-everyones-a-star-world-tour-platinum-tickets-tickets/106623016?language=en-us,https://s1.ticketm.net/dam/a/fc0/23c8d778-e594-414e-8eab-307d6355dfc0_ARTIST_PAGE_3_2.jpg,2026-04-18,19:00:00,onsale,Music,Rock,Pop,Hovet,Stockholm,,59.33233,18.06293,,,,Saturday,April,4,2026,19
Z698xZq2Z16v7Ax6up,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/1105887356?language=en-us,https://s1.ticketm.net/dam/e/a0d/dd7f8e15-926a-4e43-a4f4-f383a5756a0d_RETINA_PORTRAIT_16_9.jpg,2026-04-18,19:30:00,onsale,Arts & Theatre,Theatre,Musical,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Saturday,April,4,2026,19
Z698xZq2Z16vAgbJjd,"Matt Rife: Stay Golden World Tour, Platinum Tickets",https://www.ticketmaster.se/event/matt-rife-stay-golden-world-tour-platinum-tickets-tickets/1175626703?language=en-us,https://s1.ticketm.net/dam/a/0c9/ca006906-7ad8-4113-ba63-f20659fd30c9_TABLET_LANDSCAPE_3_2.jpg,2026-04-20,19:30:00,onsale,Arts & Theatre,Comedy,Comedy,,Stockholm,Globentorget 2,59.29416,18.08081,,,,Monday,April,4,2026,19
Z698xZq2Z16vjZPaOs,Rhythm of the Dance,https://www.ticketmaster.se/event/rhythm-of-the-dance-tickets/1700949831?language=en-us,https://s1.ticketm.net/dam/e/0ee/03d1602c-7a6a-4df6-937f-a5a8241bc0ee_SOURCE,2026-04-21,19:00:00,onsale,Arts & Theatre,Dance,Dance,Cirkus,Stockholm,Djurgårdsslätten 43-45,59.32457,18.09969,,,,Tuesday,April,4,2026,19
Z698xZq2Z16vj_edo8,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-tickets/1719083450?language=en-us,https://s1.ticketm.net/dam/e/20f/5ed3d767-833a-4037-887d-ec646e72c20f_RETINA_PORTRAIT_3_2.jpg,2026-04-23,18:30:00,onsale,Arts & Theatre,Theatre,Musical,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,,,,Thursday,April,4,2026,18
