name,date,time,venue_name,genre,segment,url,image
This is the moment - En historisk musikalresa i tiden,2026-04-24,19:00:00,Nya Cirkus,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/this-is-the-moment-en-historisk-musikalresa-i-tiden-biljetter/1568927722,https://s1.ticketm.net/dam/e/9b5/125650d8-d90d-4ee5-9b52-1654f665e9b5_RETINA_PORTRAIT_16_9.jpg
GöteborgsOperans Danskompani - Hammer,2026-04-24,19:00:00,Dansens Hus - Stora Scen,Dance,Arts & Theatre,https://www.ticketmaster.se/event/goteborgsoperans-danskompani-hammer-biljetter/1067733778,https://s1.ticketm.net/dam/a/b1c/4622c629-ae9f-4db6-8129-64a516cc1b1c_RETINA_PORTRAIT_3_2.jpg
Bo Kaspers Orkester - Il magnifico,2026-04-24,19:30:00,Göta Lejon,Rock,Music,https://www.ticketmaster.se/event/bo-kaspers-orkester-il-magnifico-biljetter/569492958,https://s1.ticketm.net/dam/e/2ed/bafdf867-a735-405e-9a04-e748ebd332ed_RECOMENDATION_16_9.jpg
& Julia,2026-04-24,19:30:00,Cirkus,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/-julia-biljetter/247560578,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
Per Andersson - Kardborreshowen,2026-04-24,20:00:00,Rival,Comedy,Arts & Theatre,https://www.ticketmaster.se/event/per-andersson-kardborreshowen-biljetter/1171099156,https://s1.ticketm.net/dam/a/85f/fb6817d8-005d-4dfb-8ac4-5dd636b5785f_ARTIST_PAGE_3_2.jpg
MAFFIA COMEDY SUPERWEEKEND med Simon Garshasebi m.fl,2026-04-24,20:00:00,Clarion Hotel Sign,Comedy,Arts & Theatre,https://www.ticketmaster.se/event/maffia-comedy-superweekend-med-simon-garshasebi-mfl-biljetter/415013823,https://s1.ticketm.net/dam/a/2f9/43412b6f-da4a-4529-afd0-31ba4b1162f9_RECOMENDATION_16_9.jpg
Innellea (DJ Set),2026-04-24,22:00:00,Berns,Dance/Electronic,Music,https://www.ticketmaster.se/event/innellea-dj-set--biljetter/748630929,https://s1.ticketm.net/dam/e/683/3776bd48-f855-4a3d-8580-7332c0bcf683_RETINA_LANDSCAPE_16_9.jpg
Stadsvandring med Christopher O'Regan - Grändernas hemligheter,2026-04-25,11:00:00,Gamla stan,Fairs & Festivals,Miscellaneous,https://www.ticketmaster.se/event/stadsvandring-med-christopher-oregan-grandernas-hemligheter-biljetter/1457723360,https://s1.ticketm.net/dam/a/506/784570b2-0a86-4a75-8af4-bed7018b7506_CUSTOM.jpg
MAMMA MIA! THE PARTY,2026-04-25,13:00:00,Tyrol,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/223968460,https://s1.ticketm.net/dam/e/f0e/6b5807c3-3d8d-41ec-9b23-eff5c5bb0f0e_RETINA_PORTRAIT_3_2.jpg
Teorin om relativitet,2026-04-25,14:00:00,Scen Studio Fyra,Dance,Arts & Theatre,https://www.ticketmaster.se/event/teorin-om-relativitet-biljetter/1630571918,https://s1.ticketm.net/dam/e/f7f/f4b65f98-d479-4bbf-bc61-6d9ab8d70f7f_RETINA_PORTRAIT_16_9.jpg
& Julia,2026-04-25,15:00:00,Cirkus,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/-julia-biljetter/589204947,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
Bo Kaspers Orkester - Il magnifico,2026-04-25,16:00:00,Göta Lejon,Spectacular,Arts & Theatre,https://www.ticketmaster.se/event/bo-kaspers-orkester-il-magnifico-biljetter/949994210,https://s1.ticketm.net/dam/e/529/6b468932-850d-4029-ac23-54faffc2b529_TABLET_LANDSCAPE_3_2.jpg
Per Andersson - Kardborreshowen,2026-04-25,17:00:00,Rival,Comedy,Arts & Theatre,https://www.ticketmaster.se/event/per-andersson-kardborreshowen-biljetter/1748958099,https://s1.ticketm.net/dam/a/85f/fb6817d8-005d-4dfb-8ac4-5dd636b5785f_ARTIST_PAGE_3_2.jpg
Teorin om relativitet,2026-04-25,17:00:00,Scen Studio Fyra,Dance,Arts & Theatre,https://www.ticketmaster.se/event/teorin-om-relativitet-biljetter/184554088,https://s1.ticketm.net/dam/e/f9d/b64cb75c-c349-4537-945a-a2c0e6076f9d_RETINA_PORTRAIT_3_2.jpg
 Bachs samtliga sonater och partitor för violin - Konsert 2,2026-04-25,18:00:00,Allhelgonakyrkan,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/-bachs-samtliga-sonater-och-partitor-for-violin-konsert-2-biljetter/1844064992,https://s1.ticketm.net/dam/a/c23/43c3d863-3ce7-4868-973f-009502841c23_TABLET_LANDSCAPE_16_9.jpg
Svartklubben - Mat & Musik i Mörker,2026-04-25,18:00:00,Svartklubben,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/svartklubben-mat--musik-i-morker-biljetter/1935227898,https://s1.ticketm.net/dam/a/841/1c1b2a57-616a-4e71-8e64-37d129780841_TABLET_LANDSCAPE_16_9.jpg
Labero's Magic World,2026-04-25,18:00:00,La Botanica,Magic & Illusion,Arts & Theatre,https://www.ticketmaster.se/event/laberos-magic-world-biljetter/1526536992,https://s1.ticketm.net/dam/a/f00/7a24bdb3-8f78-408b-85aa-125463437f00_TABLET_LANDSCAPE_3_2.jpg
This is the moment - En historisk musikalresa i tiden,2026-04-25,18:00:00,Nya Cirkus,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/this-is-the-moment-en-historisk-musikalresa-i-tiden-biljetter/1726156094,https://s1.ticketm.net/dam/e/642/2a8c7023-ac0c-4ffa-b0d0-a0745890e642_EVENT_DETAIL_PAGE_16_9.jpg
GöteborgsOperans Danskompani - Hammer,2026-04-25,19:00:00,Dansens Hus - Stora Scen,Dance,Arts & Theatre,https://www.ticketmaster.se/event/goteborgsoperans-danskompani-hammer-biljetter/938814261,https://s1.ticketm.net/dam/a/b1c/4622c629-ae9f-4db6-8129-64a516cc1b1c_RETINA_PORTRAIT_3_2.jpg
Bo Kaspers Orkester - Il magnifico,2026-04-25,19:30:00,Göta Lejon,Spectacular,Arts & Theatre,https://www.ticketmaster.se/event/bo-kaspers-orkester-il-magnifico-biljetter/1208274891,https://s1.ticketm.net/dam/e/5ac/279d4ca5-e9b6-4af5-b39f-9d549c7ac5ac_RECOMENDATION_16_9.jpg
MAMMA MIA! THE PARTY,2026-04-25,19:30:00,Tyrol,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/1089664090,https://s1.ticketm.net/dam/e/3b6/7dc5297e-7504-4232-b7b5-84385892b3b6_EVENT_DETAIL_PAGE_16_9.jpg
& Julia,2026-04-25,19:30:00,Cirkus,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/-julia-biljetter/103343064,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
Aleks: Tillsammans,2026-04-25,20:00:00,Vasateatern,Hip-Hop/Rap,Music,https://www.ticketmaster.se/event/aleks-tillsammans-biljetter/1221720623,https://s1.ticketm.net/dam/e/a03/800404f6-14b4-4d9e-a324-84b03093ca03_TABLET_LANDSCAPE_3_2.jpg
Per Andersson - Kardborreshowen,2026-04-25,20:00:00,Rival,Comedy,Arts & Theatre,https://www.ticketmaster.se/event/per-andersson-kardborreshowen-biljetter/1033493091,https://s1.ticketm.net/dam/a/85f/fb6817d8-005d-4dfb-8ac4-5dd636b5785f_ARTIST_PAGE_3_2.jpg
MAFFIA COMEDY SUPERWEEKEND med Simon Garshasebi m.fl,2026-04-25,20:00:00,Clarion Hotel Sign,Comedy,Arts & Theatre,https://www.ticketmaster.se/event/maffia-comedy-superweekend-med-simon-garshasebi-mfl-biljetter/234666490,https://s1.ticketm.net/dam/a/2f9/43412b6f-da4a-4529-afd0-31ba4b1162f9_RECOMENDATION_16_9.jpg
& Julia,2026-04-26,15:00:00,Cirkus,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/-julia-biljetter/845100543,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
Teorin om relativitet,2026-04-26,15:00:00,Scen Studio Fyra,Dance,Arts & Theatre,https://www.ticketmaster.se/event/teorin-om-relativitet-biljetter/225054753,https://s1.ticketm.net/dam/e/8fb/b3e51140-138d-4adf-aac3-3aa67609d8fb_RETINA_PORTRAIT_16_9.jpg
GöteborgsOperans Danskompani - Hammer,2026-04-26,15:00:00,Dansens Hus - Stora Scen,Dance,Arts & Theatre,https://www.ticketmaster.se/event/goteborgsoperans-danskompani-hammer-biljetter/256414694,https://s1.ticketm.net/dam/a/b1c/4622c629-ae9f-4db6-8129-64a516cc1b1c_RETINA_PORTRAIT_3_2.jpg
Visioner,2026-04-26,17:00:00,Engelbrektskyrkan,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/visioner-biljetter/899350494,https://s1.ticketm.net/dam/a/5fd/59a6952f-ea4d-4341-8b7c-55df03d7d5fd_CUSTOM.jpg
Bach och Mozart med kör och orkester,2026-04-26,18:00:00,Katarina Kyrka,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/bach-och-mozart-med-kor-och-orkester-biljetter/2083074526,https://s1.ticketm.net/dam/a/c23/43c3d863-3ce7-4868-973f-009502841c23_TABLET_LANDSCAPE_16_9.jpg
"Tame Impala, Platinum Tickets",2026-04-26,20:00:00,Avicii Arena,Rock,Music,https://www.ticketmaster.se/event/tame-impala-platinumbiljetter-biljetter/95494207,https://s1.ticketm.net/dam/a/8b4/0c49343b-d625-479b-9540-ec541d0f58b4_SOURCE
Prime Orchestra - Rock Sympho Show,2026-04-27,19:00:00,Cirkus,Rock,Music,https://www.ticketmaster.se/event/prime-orchestra-rock-sympho-show-biljetter/1655941297,https://s1.ticketm.net/dam/a/f1a/fd998d5e-a2d8-4216-822d-5bc214a47f1a_TABLET_LANDSCAPE_3_2.jpg
Comedy Dinner with the fool,2026-04-27,19:00:00,Göta Lejon,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/comedy-dinner-with-the-fool-biljetter/1054276460,https://s1.ticketm.net/dam/e/481/ca2a7ecd-3cd1-4c30-b7ed-590a8a751481_TABLET_LANDSCAPE_16_9.jpg
Svartklubben - Mat & Musik i Mörker,2026-04-28,18:00:00,Svartklubben,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/svartklubben-mat--musik-i-morker-biljetter/1434170480,https://s1.ticketm.net/dam/a/841/1c1b2a57-616a-4e71-8e64-37d129780841_TABLET_LANDSCAPE_16_9.jpg
Svartklubben - Mat & Musik i Mörker,2026-04-30,18:00:00,Svartklubben,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/svartklubben-mat--musik-i-morker-biljetter/1363168772,https://s1.ticketm.net/dam/a/841/1c1b2a57-616a-4e71-8e64-37d129780841_TABLET_LANDSCAPE_16_9.jpg
MAMMA MIA! THE PARTY,2026-04-30,18:30:00,Tyrol,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/839555657,https://s1.ticketm.net/dam/a/08d/3e62af05-2974-4fea-836f-c0c75ed0008d_RETINA_LANDSCAPE_16_9.jpg
& Julia,2026-04-30,19:30:00,Cirkus,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/-julia-biljetter/494852652,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
Zak Abel,2026-04-30,19:30:00,Debaser Nova,Other,Music,https://www.ticketmaster.se/event/zak-abel-biljetter/366558077,https://s1.ticketm.net/dam/a/755/ad1c401e-01a4-4eee-b5d7-2ed8f47dd755_CUSTOM.jpg
Guldgruvan comedyklubb,2026-04-30,20:00:00,Sofia Common,Comedy,Arts & Theatre,https://www.ticketmaster.se/event/guldgruvan-comedyklubb-biljetter/2076887578,https://s1.ticketm.net/dam/a/933/04589563-a8b7-492d-8612-ac299f8d5933_CUSTOM.jpg
BULLERBYN x VALBORG på Berns,2026-04-30,22:00:00,Berns,Hip-Hop/Rap,Music,https://www.ticketmaster.se/event/bullerbyn-x-valborg-pa-berns-biljetter/1909658448,https://s1.ticketm.net/dam/e/e57/8dc70c73-3645-4a01-959f-04c768ca7e57_RECOMENDATION_16_9.jpg
Svartklubben - Mat & Musik i Mörker,2026-05-01,18:00:00,Svartklubben,Food & Drink,Miscellaneous,https://www.ticketmaster.se/event/svartklubben-mat--musik-i-morker-biljetter/1409196998,https://s1.ticketm.net/dam/a/841/1c1b2a57-616a-4e71-8e64-37d129780841_TABLET_LANDSCAPE_16_9.jpg
MAMMA MIA! THE PARTY,2026-05-01,18:30:00,Tyrol,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/1838899830,https://s1.ticketm.net/dam/e/e9d/2a400df1-e26a-4143-a128-4c8ffb1dfe9d_EVENT_DETAIL_PAGE_16_9.jpg
& Julia,2026-05-01,19:30:00,Cirkus,Theatre,Arts & Theatre,https://www.ticketmaster.se/event/-julia-biljetter/1815473588,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
MAFFIA COMEDY SUPERWEEKEND med Simon Gärdenfors m.fl,2026-05-01,20:00:00,Clarion Hotel Sign,Comedy,Arts & Theatre,https://www.ticketmaster.se/event/maffia-comedy-superweekend-med-simon-gardenfors-mfl-biljetter/2024291046,https://s1.ticketm.net/dam/a/2f9/43412b6f-da4a-4529-afd0-31ba4b1162f9_RECOMENDATION_16_9.jpg
