event_id,name,date,time,status,segment,genre,venue_name,venue_lat,venue_lon,price_min,price_max,price_is_estimated,day_of_week,month_name,year,url,image_url
Z998xZq2ZpQ3_r2ppZQ5jrb2j,LINKIN PARK - From Zero World Tour 2026 - Hotel Packages,2026-05-29,19:30:00,onsale,Music,Rock,3Arena,59.29045,18.08558,831,943,True,Friday,May,2026,https://www.travelcircus.se/linkin-park-stockholm?locale=en_GB,https://s1.ticketm.net/dam/a/534/d3a239c9-96b9-4f75-a63d-2ca2c5a2c534_SOURCE
Z698xZq2Z16vAZGvb3,MAFFIA COMEDY SUPERWEEKEND med Per-Robin Gustafsson m.fl,2026-05-29,20:00:00,onsale,Arts & Theatre,Comedy,Clarion Hotel Sign,59.99333,18.89062,326,533,True,Friday,May,2026,https://www.ticketmaster.se/event/maffia-comedy-superweekend-med-per-robin-gustafsson-mfl-biljetter/1140301612,https://s1.ticketm.net/dam/a/2f9/43412b6f-da4a-4529-afd0-31ba4b1162f9_RECOMENDATION_16_9.jpg
Z698xZq2Z16v_FGkZp,Från Rockens Himlar,2026-05-29,20:00:00,onsale,Music,Rock,Filadelfia Convention Center,59.33948,18.03484,800,1015,True,Friday,May,2026,https://www.ticketmaster.se/event/fran-rockens-himlar-biljetter/1648306016,https://s1.ticketm.net/dam/e/ebd/84e58340-2e15-478e-8c7d-6901787dbebd_RETINA_PORTRAIT_16_9.jpg
Z698xZq2Z1kPVAzx9,Eric Sporrong,2026-05-29,20:00:00,cancelled,Arts & Theatre,Comedy,Göta Lejon,59.31378,18.07384,483,678,True,Friday,May,2026,https://www.ticketmaster.se/event/eric-sporrong-biljetter/974178897,https://s1.ticketm.net/dam/e/666/142fc20f-2313-4d0a-a474-131a660ec666_TABLET_LANDSCAPE_3_2.jpg
Z698xZq2Z16v_OA_0U,Stadsvandring med Christopher O'Regan - Grändernas hemligheter,2026-05-30,11:00:00,onsale,Miscellaneous,Family,Gamla stan,59.3266,18.0709,238,360,True,Saturday,May,2026,https://www.ticketmaster.se/event/stadsvandring-med-christopher-oregan-grandernas-hemligheter-biljetter/1660159936,https://s1.ticketm.net/dam/a/506/784570b2-0a86-4a75-8af4-bed7018b7506_CUSTOM.jpg
Z698xZq2Z1k_VuUFJ,& Julia,2026-05-30,15:00:00,onsale,Arts & Theatre,Theatre,Cirkus,59.32457,18.09969,590,665,True,Saturday,May,2026,https://www.ticketmaster.se/event/-julia-biljetter/674376226,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
Z698xZq2Z1kjAvfba,Kungliga Svenska Balettskolan - Jaunty,2026-05-30,15:00:00,onsale,Arts & Theatre,Dance,Dansens Hus - Stora Scen,59.33623,18.05644,261,484,True,Saturday,May,2026,https://www.ticketmaster.se/event/kungliga-svenska-balettskolan-jaunty-biljetter/705054609,https://s1.ticketm.net/dam/a/23e/5cecdced-e7a2-4449-8523-f129d01d423e_ARTIST_PAGE_3_2.jpg
Z698xZq2Z16vbY7Fa3,Eric Sporrong,2026-05-30,16:00:00,cancelled,Arts & Theatre,Comedy,Göta Lejon,59.31378,18.07384,475,533,True,Saturday,May,2026,https://www.ticketmaster.se/event/eric-sporrong-biljetter/1630108252,https://s1.ticketm.net/dam/e/30e/48d06bbd-3817-4d77-9dbe-c70ad9e7330e_SOURCE
Z698xZq2Z1ke6Jevx,Svartklubben - Mat & Musik i Mörker,2026-05-30,18:00:00,onsale,Arts & Theatre,Theatre,Svartklubben,59.31209,18.08133,288,517,True,Saturday,May,2026,https://www.ticketmaster.se/event/svartklubben-mat--musik-i-morker-biljetter/87982062,https://s1.ticketm.net/dam/a/841/1c1b2a57-616a-4e71-8e64-37d129780841_TABLET_LANDSCAPE_16_9.jpg
Z698xZq2Z16vPJ8_ov,& Julia,2026-05-30,19:30:00,onsale,Arts & Theatre,Theatre,Cirkus,59.32457,18.09969,627,822,True,Saturday,May,2026,https://www.ticketmaster.se/event/-julia-biljetter/1966419441,https://s1.ticketm.net/dam/a/9d5/39c257d4-fad5-4891-8029-070e011c09d5_TABLET_LANDSCAPE_3_2.jpg
